book	status2	status	PARAGON	tok_length		ParagonURI	local_path
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran	pri	pri	z	2198957		z	../data/0671AbuCabdAllahQurtubi/0671AbuCabdAllahQurtubi.JamicLiAhkamQuran/0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1
0774IbnKathir.Bidaya	pri	pri	history: obituary chronicle	2192600	1	0000Paragon.TarikhWafayat	../data/0774IbnKathir/0774IbnKathir.Bidaya/0774IbnKathir.Bidaya.Shamela0004445-ara1.completed
0748Dhahabi.SiyarAclamNubala	pri	pri	z	2185197		0000Paragon.TarikhTarajim	../data/0748Dhahabi/0748Dhahabi.SiyarAclamNubala/0748Dhahabi.SiyarAclamNubala.Shamela0010906-ara1.mARkdown
0710IbnRifca.Kifaya	pri	pri	z	2172339		0000Paragon.FiqhShafici	../data/0710IbnRifca/0710IbnRifca.Kifaya/0710IbnRifca.Kifaya.Sham19Y0014325-ara1.mARkdown
0855BadrDinCayni.NukhabAfkar	pri	pri	z	2167421		z	../data/0855BadrDinCayni/0855BadrDinCayni.NukhabAfkar/0855BadrDinCayni.NukhabAfkar.Sham19Y0013667-ara1
1346KhalilAhmadSaharanpuri.BadhlMajhud	pri	pri	z	2136260		z	../data/1346KhalilAhmadSaharanpuri/1346KhalilAhmadSaharanpuri.BadhlMajhud/1346KhalilAhmadSaharanpuri.BadhlMajhud.Sham19Y0014601-ara1
0682CabdRahmanIbnQudama.SharhKabir	pri	pri	z	2106705		z	../data/0682CabdRahmanIbnQudama/0682CabdRahmanIbnQudama.SharhKabir/0682CabdRahmanIbnQudama.SharhKabir.Sham19Y0019188-ara1
0743SharafDinTibi.FutuhGhayb	pri	pri	z	2088680		z	../data/0743SharafDinTibi/0743SharafDinTibi.FutuhGhayb/0743SharafDinTibi.FutuhGhayb.Sham19Y0020891-ara1
0745AbuHayyanGharnati.TafsirBahrMuhit	pri	pri	z	2085581		z	../data/0745AbuHayyanGharnati/0745AbuHayyanGharnati.TafsirBahrMuhit/0745AbuHayyanGharnati.TafsirBahrMuhit.Shamela0023591-ara1.completed
1332QutbAtfayyish.HamayanZad	pri	pri	z	2058557		z	../data/1332QutbAtfayyish/1332QutbAtfayyish.HamayanZad/1332QutbAtfayyish.HamayanZad.Tafsir06049-ara1
0861IbnHumam.FathQadir	pri	pri	z	2057808		z	../data/0861IbnHumam/0861IbnHumam.FathQadir/0861IbnHumam.FathQadir.Shamela0021744-ara1
1069ShihabDinKhafaji.HashiyaCalaTafsirBaydawi	pri	pri	z	2046349		z	../data/1069ShihabDinKhafaji/1069ShihabDinKhafaji.HashiyaCalaTafsirBaydawi/1069ShihabDinKhafaji.HashiyaCalaTafsirBaydawi.Shamela0001535-ara1
0316IbnIshaqIsfaraini.Musnad	pri	pri	z	1993034		z	../data/0316IbnIshaqIsfaraini/0316IbnIshaqIsfaraini.Musnad/0316IbnIshaqIsfaraini.Musnad.Sham19Y0018144-ara1
0316IbnIshaqIsfaraini.Mustakhraj	pri	pri	z	1993016		z	../data/0316IbnIshaqIsfaraini/0316IbnIshaqIsfaraini.Mustakhraj/0316IbnIshaqIsfaraini.Mustakhraj.ShamAY0032665-ara1
1420IbnBaz.MajmucFatawa	pri	pri	z	1986747		z	../data/1420IbnBaz/1420IbnBaz.MajmucFatawa/1420IbnBaz.MajmucFatawa.Shamela0021537-ara1
1421MuhammadCuthaymin.MajmucFatawa	pri	pri	z	1986194		z	../data/1421MuhammadCuthaymin/1421MuhammadCuthaymin.MajmucFatawa/1421MuhammadCuthaymin.MajmucFatawa.Shamela0012293-ara1
1101IbCabdAllahKharshi.SharhMukhtasarSayyidiKhalil	pri	pri	z	1986120		z	../data/1101IbCabdAllahKharshi/1101IbCabdAllahKharshi.SharhMukhtasarSayyidiKhalil/1101IbCabdAllahKharshi.SharhMukhtasarSayyidiKhalil.Shamela0000091-ara1
1226MuhammadJawadCamili.MiftahKarama	pri	pri	z	1980397		z	../data/1226MuhammadJawadCamili/1226MuhammadJawadCamili.MiftahKarama/1226MuhammadJawadCamili.MiftahKarama.Shia000263Vols-ara1
0764Safadi.WafiBiWafayat	pri	pri	history: biographical collections	1959707	1	0000Paragon.TarikhTarajim	../data/0764Safadi/0764Safadi.WafiBiWafayat/0764Safadi.WafiBiWafayat.JK003609-ara1.mARkdown
1450LajnaDaima.Fatawa	pri	pri	z	1943513		z	../data/1450LajnaDaima/1450LajnaDaima.Fatawa/1450LajnaDaima.Fatawa.Shamela0008381-ara1
1372KurdCali.MajallatMuqtabas	pri	pri	z	1932521		z	../data/1372KurdCali/1372KurdCali.MajallatMuqtabas/1372KurdCali.MajallatMuqtabas.ShamAY0000443-ara1
0975MuttaqiHindi.KanzCummal	pri	pri	z	1922435		z	../data/0975MuttaqiHindi/0975MuttaqiHindi.KanzCummal/0975MuttaqiHindi.KanzCummal.Shia002265Vols-ara1
